Sno,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
481,Ontario,Canada,1/31/2020 19:00,2,0,0
482,British Columbia,Canada,1/31/2020 19:00,1,0,0
483,,Cambodia,1/31/2020 19:00,1,0,0
484,,Sri Lanka,1/31/2020 19:00,1,0,0
485,New South Wales,Australia,1/31/2020 19:00,4,0,2
486,Victoria,Australia,1/31/2020 19:00,2,0,0
487,Queensland,Australia,1/31/2020 19:00,3,0,0
488,Bavaria,Germany,1/31/2020 19:00,7,0,0
489,,Finland,1/31/2020 19:00,1,0,0
490,,United Arab Emirates,1/31/2020 19:00,4,0,0
491,,Philippines,1/31/2020 19:00,1,0,0
492,,India,1/31/2020 19:00,1,0,0
493,,Italy,1/31/2020 19:00,2,0,0
494,,Sweden,1/31/2020 19:00,1,0,0
495,,Russia,1/31/2020 19:00,2,0,0
496,,Spain,1/31/2020 19:00,1,0,0
497,,UK,1/31/2020 19:00,2,0,0
498,Hubei,Mainland China,1/2/2020 23:33,9074,294,215
499,Zhejiang,Mainland China,2/2/2020 2:13,661,0,23
500,Guangdong,Mainland China,2/2/2020 1:23,604,0,14
501,Henan,Mainland China,2/2/2020 0:53,493,2,4
502,Hunan,Mainland China,2/2/2020 1:53,463,0,8
503,Anhui,Mainland China,2/2/2020 1:33,340,0,5
504,Jiangxi,Mainland China,2/2/2020 1:23,333,0,10
505,Chongqing,Mainland China,1/2/2020 23:43,262,1,3
506,Jiangsu,Mainland China,2/2/2020 1:13,236,0,6
507,Sichuan,Mainland China,2/2/2020 1:03,231,1,3
508,Shandong,Mainland China,2/2/2020 1:03,225,0,5
509,Beijing,Mainland China,2/2/2020 3:05,183,1,9
510,Shanghai,Mainland China,2/2/2020 0:23,177,1,10
511,Fujian,Mainland China,2/2/2020 3:43,159,0,0
512,Shaanxi,Mainland China,2/2/2020 3:23,116,0,0
513,Guangxi,Mainland China,2/2/2020 0:23,111,0,2
514,Hebei,Mainland China,2/2/2020 2:53,104,1,3
515,Heilongjiang,Mainland China,2/2/2020 3:23,95,2,2
516,Yunnan,Mainland China,1/2/2020 15:53,93,0,2
517,Liaoning,Mainland China,1/2/2020 15:23,64,0,1
518,Hainan,Mainland China,2/2/2020 1:03,63,1,1
519,Shanxi,Mainland China,1/2/2020 23:33,56,0,1
520,Tianjin,Mainland China,2/2/2020 2:03,45,0,0
521,Gansu,Mainland China,1/2/2020 15:43,40,0,0
522,Guizhou,Mainland China,2/2/2020 1:03,38,0,2
523,Ningxia,Mainland China,2/2/2020 1:43,28,0,0
524,Inner Mongolia,Mainland China,2/2/2020 3:43,27,0,1
525,Jilin,Mainland China,2/2/2020 2:33,23,0,1
526,Xinjiang,Mainland China,2/2/2020 0:43,21,0,0
527,,Japan,1/2/2020 18:53,20,0,1
528,,Thailand,1/31/2020 10:37,19,0,5
529,,Singapore,2/2/2020 1:03,18,0,0
530,,South Korea,2/2/2020 2:23,15,0,0
531,Hong Kong,Hong Kong,2/2/2020 1:03,14,0,0
532,Taiwan,Taiwan,1/31/2020 15:20,10,0,0
533,Qinghai,Mainland China,1/2/2020 5:37,9,0,0
534,,Germany,1/2/2020 23:33,8,0,0
535,,Malaysia,1/31/2020 8:15,8,0,0
536,Macau,Macau,1/31/2020 8:15,7,0,0
537,,France,1/2/2020 1:52,6,0,0
538,,Vietnam,1/2/2020 7:38,6,0,1
539,New South Wales,Australia,1/2/2020 18:12,4,0,2
540,Victoria,Australia,1/2/2020 18:12,4,0,0
541,,United Arab Emirates,1/31/2020 8:15,4,0,0
542,Queensland,Australia,1/2/2020 18:12,2,0,0
543,Ontario,Canada,1/2/2020 18:12,3,0,0
544,,Italy,1/31/2020 8:15,2,0,0
545,,Philippines,2/2/2020 3:33,2,1,0
546,,Russia,1/31/2020 16:13,2,0,0
547,,UK,1/2/2020 1:52,2,0,0
548,"Chicago, IL",US,1/2/2020 19:43,2,0,0
549,South Australia,Australia,1/2/2020 18:12,2,0,0
550,,Cambodia,1/31/2020 8:15,1,0,0
551,British Columbia,Canada,1/2/2020 18:12,1,0,0
552,,Finland,1/31/2020 8:15,1,0,0
553,,India,1/31/2020 8:15,1,0,0
554,Tibet,Mainland China,1/2/2020 1:52,1,0,0
555,,Nepal,1/31/2020 8:15,1,0,0
556,,Spain,1/2/2020 23:43,1,0,0
557,,Sri Lanka,1/31/2020 8:15,1,0,0
558,,Sweden,1/2/2020 2:13,1,0,0
559,"Boston, MA",US,1/2/2020 19:43,1,0,0
560,"Los Angeles, CA",US,1/2/2020 19:53,1,0,0
561,"Orange, CA",US,1/2/2020 19:53,1,0,0
562,"Santa Clara, CA",US,1/2/2020 19:53,1,0,0
563,"Seattle, WA",US,1/2/2020 19:43,1,0,0
564,"Tempe, AZ",US,1/2/2020 19:43,1,0,0
565,Hubei,Mainland China,2/2/2020 23:43,11177,350,295
566,Zhejiang,Mainland China,3/2/2020 1:33,724,0,36
567,Guangdong,Mainland China,3/2/2020 1:33,683,0,15
568,Henan,Mainland China,3/2/2020 1:03,566,2,14
569,Hunan,Mainland China,3/2/2020 1:33,521,0,16
570,Anhui,Mainland China,3/2/2020 0:53,408,0,7
571,Jiangxi,Mainland China,3/2/2020 1:33,391,0,18
572,Chongqing,Mainland China,2/2/2020 23:33,300,2,7
573,Jiangsu,Mainland China,3/2/2020 1:03,271,0,7
574,Sichuan,Mainland China,3/2/2020 1:03,254,1,12
575,Shandong,Mainland China,3/2/2020 1:13,246,0,6
576,Shanghai,Mainland China,3/2/2020 0:03,193,1,10
577,Beijing,Mainland China,2/2/2020 8:43,191,1,9
578,Fujian,Mainland China,2/2/2020 3:43,159,0,0
579,Guangxi,Mainland China,3/2/2020 0:13,127,0,2
580,Shaanxi,Mainland China,2/2/2020 3:23,116,0,0
581,Hebei,Mainland China,3/2/2020 0:23,113,1,3
582,Yunnan,Mainland China,2/2/2020 18:03,105,0,3
583,Heilongjiang,Mainland China,2/2/2020 3:23,95,2,2
584,Hainan,Mainland China,3/2/2020 0:43,71,1,4
585,Liaoning,Mainland China,2/2/2020 18:03,70,0,1
586,Shanxi,Mainland China,2/2/2020 23:23,66,0,3
587,Gansu,Mainland China,2/2/2020 23:43,51,0,3
588,Tianjin,Mainland China,2/2/2020 9:43,48,0,1
589,Guizhou,Mainland China,3/2/2020 1:03,46,0,2
590,Jilin,Mainland China,3/2/2020 0:53,31,0,1
591,Ningxia,Mainland China,2/2/2020 1:43,28,0,0
592,Inner Mongolia,Mainland China,2/2/2020 3:43,27,0,1
593,Xinjiang,Mainland China,3/2/2020 1:13,24,0,0
594,,Japan,1/2/2020 18:53,20,0,1
595,,Thailand,1/31/2020 10:37,19,0,5
596,,Singapore,2/2/2020 1:03,18,0,0
597,Hong Kong,Hong Kong,2/2/2020 23:53,15,0,0
598,,South Korea,2/2/2020 2:23,15,0,0
599,Qinghai,Mainland China,2/2/2020 5:33,11,0,0
600,,Germany,2/2/2020 18:03,10,0,0
601,Taiwan,Taiwan,1/31/2020 15:20,10,0,0
602,Macau,Macau,2/2/2020 4:23,8,0,0
603,,Malaysia,1/31/2020 8:15,8,0,0
604,,France,1/2/2020 1:52,6,0,0
605,,Vietnam,1/2/2020 7:38,6,0,1
606,,United Arab Emirates,2/2/2020 5:43,5,0,0
607,New South Wales,Australia,1/2/2020 18:12,4,0,2
608,Victoria,Australia,1/2/2020 18:12,4,0,0
609,Ontario,Canada,1/2/2020 18:12,3,0,0
610,Queensland,Australia,2/2/2020 22:33,2,0,0
611,South Australia,Australia,2/2/2020 22:33,2,0,0
612,,India,2/2/2020 6:03,2,0,0
613,,Italy,1/31/2020 8:15,2,0,0
614,,Philippines,2/2/2020 3:33,2,1,0
615,,Russia,1/31/2020 16:13,2,0,0
616,,UK,1/2/2020 1:52,2,0,0
617,"Chicago, IL",US,1/2/2020 19:43,2,0,0
618,"Santa Clara, CA",US,3/2/2020 0:43,2,0,0
619,,Cambodia,1/31/2020 8:15,1,0,0
620,British Columbia,Canada,1/2/2020 18:12,1,0,0
621,,Finland,1/31/2020 8:15,1,0,0
622,Tibet,Mainland China,1/2/2020 1:52,1,0,0
623,,Nepal,1/31/2020 8:15,1,0,0
624,,Spain,1/2/2020 23:43,1,0,0
625,,Sri Lanka,1/31/2020 8:15,1,0,0
626,,Sweden,1/2/2020 2:13,1,0,0
627,"Boston, MA",US,1/2/2020 19:43,1,0,0
628,"Los Angeles, CA",US,1/2/2020 19:53,1,0,0
629,"Orange, CA",US,1/2/2020 19:53,1,0,0
630,"Seattle, WA",US,1/2/2020 19:43,1,0,0
631,"Tempe, AZ",US,1/2/2020 19:43,1,0,0
